"","year","species","pct.freq","Common.Name","Common.Name.Alt","Family","Scientific.Name","Life.Form"
"1","1998","ACSA2",0,"silver maple","maple, silver","Aceraceae","Acer saccharinum L.","E"
"2","1998","ALGA",10.91,"filamentous algae","algae, filamentous","","Filamentous algae","A"
"3","1998","ALSU",0,"American water plantain","water plantain, American","Alismataceae","Alisma subcordatum","E"
"4","1998","AM?AR",0,NA,NA,NA,NA,NA
"5","1998","ASCLE",0,"milkweed","milkweed","Ascleepiadaceae","Asclepias spp.","E"
"6","1998","ASIN",0,"swamp milkweed","milkweed, swamp","Asclepiadaceae","Asclepias incarnata L.","E"
"7","1998","AZCA",0,"Carolina mosquitofern","mosquitofern, Carolina","Azollaceae","Azolla caroliniana Willd.","N"
"8","1998","AZME",0,"Mexican mosquitofern","mosquitofern, Mexican","Azollaceae","Azolla mexicana Schlect. & Cham. ex K. Presl","N"
"9","1998","BI?DE",0,NA,NA,NA,NA,NA
"10","1998","buum",0,NA,NA,NA,NA,NA
"11","1998","BUUM",0,"flowering rush","rush, flowering","Butomaceae","Butomus umbellatus L.","E"
"12","1998","CA?RE",0,NA,NA,NA,NA,NA
"13","1998","CEDE4",28.55,"coontail","coontail","Ceratophyllaceae","Ceratophyllum demersum L.","S"
"14","1998","CEOC",0,"common hackberry","hackberry, common","Ulmaceae","Celtis occidentalis L.","E"
"15","1998","CEOC2",0,"common buttonbush","buttonbush, common","Rubiaceae","Cephalanthus occidentalis L.","E"
"16","1998","CH?AR",0.73,"chara","chara","Characeae","Chara spp.","S"
"17","1998","CIBU",0,"bulblet-bearing water hemlock","hemlock, bulblet-bearing water","","Cicuta bulbifera","E"
"18","1998","CY?PE",0,NA,NA,NA,NA,NA
"19","1998","CYER2",0,"redroot flatsedge","flatsedge, redroot","Cyperaceae","Cyperus erythrorhizos Muhl.","E"
"20","1998","CYST",0,"straw-colored flatsedge","flatsedge, straw-colored","Cyperaceae","Cyperus strigosus L.","E"
"21","1998","DR?EP",0,NA,NA,NA,NA,NA
"22","1998","EL?EO",0,NA,NA,NA,NA,NA
"23","1998","ELAC",0,"needle spikerush","spikerush, needle","Cyperaceae","Eleocharis acicularis","E"
"24","1998","ELCA7",30.18,"Canadian waterweed","waterweed, Canadian","Hydrocharitaceae","Elodea canadensis Michx.","S"
"25","1998","ELNU2",0,NA,NA,NA,NA,NA
"26","1998","ELPA3",0,"common spikerush","spikerush, common","Cyperaceae","Eleocharis palustris (L.) Roemer & J.A. Schultes","E"
"27","1998","EQ?UI",0,NA,NA,NA,NA,NA
"28","1998","IM?PA",0,"touch-me-not","touch-me-not","Balsaminaceae","Impatiens spp.","E"
"29","1998","IRVE2",0,NA,NA,NA,NA,NA
"30","1998","LACA3",0,"Canadian woodnettle","woodnettle, Canadian","","Laportea canadensis (L.) Weddell","E"
"31","1998","LEMI3",0,"small duckweed","duckweed, small","Lemnaceae","Lemna minor L.","N"
"32","1998","LEOR",0.18,"rice cutgrass","cutgrass, rice","Poaceae","Leersia oryzoides(L.) Sw.","E"
"33","1998","LETR",0,"star duckweed","duckweed, star","Lemnaceae","Lemna trisulca L.","N"
"34","1998","LEVI2",0,"whitegrass","whitegrass","Poaceae","Leersia virginica","E"
"35","1998","LYSA2",0,"purple loosestrife","loosestrife, purple","Lythraceae","Lythrum salicaria L.","E"
"36","1998","MYSI",0.18,"northern watermilfoil","watermilfoil, northern","Haloragaceae","Myriophyllum sibiricum Komarov","S"
"37","1998","MYSP2",8.55,"Eurasian watermilfoil","watermilfoil, Eurasian","Haloragaceae","Myriophyllum spicatum L.","S"
"38","1998","NAFL",5.64,"nodding waternymph","waternymph, nodding","Najadaceae","Najas flexilis (Willd.) Rostk. & Schmidt","S"
"39","1998","NAGU",0,"southern waternymph","waternymph, southern","Najadaceae","Najas guadalupensis (Spreng.) Magnus","S"
"40","1998","NAMI",0,"brittle waternymph","waternymph, brittle","Najadaceae","Najas minor All.","S"
"41","1998","NELU",7.82,"American lotus","lotus, American","Nelumbonaceae","Nelumbo lutea Willd.","F"
"42","1998","NI?TE",0,"nitella","nitella","Characeae","Nitella spp.","S"
"43","1998","NLPW",18.73,"leafy/small pondweed","pondweed, leafy/small","Potamogetonaceae","Potamogeton foliosus Raf./pusillus L.","S"
"44","1998","NOAQVG",67.45,NA,NA,NA,NA,NA
"45","1998","NORAKE",0,NA,NA,NA,NA,NA
"46","1998","NOSAV",0,NA,NA,NA,NA,NA
"47","1998","NOSMPL",0.91,NA,NA,NA,NA,NA
"48","1998","NOTSP",0,NA,NA,NA,NA,NA
"49","1998","NULU",0.73,"yellow pond lily","pondlily, yellow","Nymphaeaceae","Nuphar variegata Dur.","F"
"50","1998","NYTU",12.36,"white waterlily","waterlily, white","Nymphaeaceae","Nymphaea odorata Ait. spp  tuberosa (Paine) Wiersma & Hellquist","F"
"51","1998","PE?RS",0,NA,NA,NA,NA,NA
"52","1998","PHAR3",0,"reed canarygrass","canarygrass, reed","Poaceae","Phalaris aruninaceae L.","E"
"53","1998","PHAU7",0,"common reed","reed, common","Poaceae","Phragmites australis (Cav.) Trin. ex Steud.","E"
"54","1998","PHAUA6",0,NA,NA,NA,NA,NA
"55","1998","PHAUA7",0,NA,NA,NA,NA,NA
"56","1998","PIPU2",0,"Canadian clearweed","clearweed, Canadian","","Pilea pumila (L.) Gray","E"
"57","1998","PO?LY",0,NA,NA,NA,NA,NA
"58","1998","POAL8",0,"alpine pondweed","pondweed, alpine","Potamogetonaceae","Potamogeton alpinus Balbis","S"
"59","1998","POAM5",0,"largeleaf pondweed","pondweed, largeleaf","Potamogetonaceae","Potamogeton amplifolius Tuck.","S"
